Org Code,Org Name,Org Type,Function,Contact,Address 1,Address 2,Town,State,Zip Code,Phone,Fax,Grades
04450105,Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,Charter School,Principal,Brian Haas,10 New Bond Street,,Worcester,MA,01606,508-854-8400,508-854-8484,"K,01,02,03,04,05,06,07,08,09,10,11,12"
00010001,Abington: Abington Early Education Program,Public School,Principal,Lora Monachino,201 Gliniewicz Way,,Abington,MA,02351,781-982-2195,781-982-0053,PK
00010505,Abington: Abington High,Public School,Principal,Teresa Sullivan-Cruz,201 Gliniewicz Way,,Abington,MA,02351,781-982-2160,781-982-0061,"09,10,11,12"
00010405,Abington: Abington Middle School,Public School,Principal,Matthew MacCurtain,201 Gliniewicz Way,,Abington,MA,02351,781-982-2170,781-982-2173,"05,06,07,08"
00010015,Abington: Woodsdale Elementary School,Public School,Principal,Jonathan Hawes,128 Chestnut Street,,Abington,MA,02351,781-982-2180,781-982-2184,"03,04"
04120530,Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,Charter School,Principal,Spencer Blasdale,1 Westinghouse Plaza,,Hyde Park,MA,02136,617-361-0050,617-361-0045,"05,06,07,08,09,10,11,12"
06000505,Acton-Boxborough: Acton-Boxborough Regional High,Public School,Principal,Lawrence Dorey,36 Charter Rd,,Acton,MA,01720,978-264-4700,978-264-3345,"09,10,11,12"
06000005,Acton-Boxborough: Blanchard Memorial School,Public School,Principal,Dana Labb,493 Massachusetts Avenue,,Boxborough,MA,01719,978-263-4569,--,"K,01,02,03,04,05,06"
06000020,Acton-Boxborough: C.T. Douglas Elementary School,Public School,Principal,Christopher Whitbeck,21 Elm Street,,Acton,MA,01720,978-266-2560,--,"K,01,02,03,04,05,06"
06000001,Acton-Boxborough: Carol Huebner Early Childhood Program,Public School,Principal,Joe Gibowicz,15 Charter Road,,Acton,MA,01720,978-264-4700,978-254-3340,PK
06000030,Acton-Boxborough: Luther Conant School,Public School,Principal,Damian Sugrue,80 Taylor Road,,Acton,MA,01720,978-266-2550,--,"K,01,02,03,04,05,06"
06000015,Acton-Boxborough: McCarthy-Towne School,Public School,Principal,David Krane,11 Charter Road,,Acton,MA,01720,978-264-3377,--,"K,01,02,03,04,05,06"
06000010,Acton-Boxborough: Merriam School,Public School,Principal,Edward Kaufman,11 Charter Road,,Acton,MA,01720,978-264-3371,--,"K,01,02,03,04,05,06"
06000025,Acton-Boxborough: Paul P Gates Elementary School,Public School,Principal,Lynne Newman,75 Spruce Street,,Acton,MA,01720,978-266-2570,--,"K,01,02,03,04,05,06"
06000405,Acton-Boxborough: Raymond J Grey Junior High,Public School,Principal,Andrew Shen,16 Charter Rd,,Acton,MA,01720,978-264-4700,978-264-3343,"07,08"
00030025,Acushnet: Acushnet Elementary School,Public School,Principal,Susan Beck,800 Middle Road,,Acushnet,MA,02743,508-998-0255,508-998-0259,"PK,K,01,02,03,04"
00030305,Acushnet: Albert F Ford Middle School,Public School,Principal,Michelle Silvia,708 Middle Road,,Acushnet,MA,02743,508-998-0265,508-998-7316,"05,06,07,08"
06030020,Adams-Cheshire: Hoosac Valley Elementary School,Public School,Principal,Michelle Colvin,14 Commercial Street,,Adams,MA,01220,413-743-0876,413-743-8406,"PK,K,01,02,03"
06030505,Adams-Cheshire: Hoosac Valley High School,Public School,Principal,Jeremiah Ames,125 Savoy Road,,Cheshire,MA,01225,413-743-5200,413-743-8420,"08,09,10,11,12"
06030315,Adams-Cheshire: Hoosac Valley Middle School,Public School,Principal,Christopher Sposato,125 Savoy Road,,Cheshire,MA,01225,413-743-5200,413-743-8420,"04,05,06,07"
04300305,Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,Charter School,Principal,Ellen Linzey,201 Forest Street,,Marlborough,MA,01752,508-597-2400,508-597-2499,"06,07,08,09,10,11,12"
00050003,Agawam: Agawam Early Childhood Center,Public School,Principal,Robin Fernandes,108 Perry Lane,,Agawam,MA,01001,413-821-0598,413-821-0596,PK
00050505,Agawam: Agawam High,Public School,Principal,Thomas Schnepp,760 Cooper Street,,Agawam,MA,01001,413-821-0521,413-821-0536,"09,10,11,12"
00050405,Agawam: Agawam Junior High,Public School,Principal,Norman Robbins,1305 Springfield St,Suite 2,Feeding Hills,MA,01030,413-821-0561,413-786-4240,"07,08"
00050020,Agawam: Benjamin J Phelps,Public School,Principal,Noelle Colbert,689 Main Street,,Agawam,MA,01001,413-821-0587,413-786-0497,"K,01,02,03,04"
00050010,Agawam: Clifford M Granger,Public School,Principal,Cheryl Salomao,31 So. Westfield Street,,Feeding Hills,MA,01030,413-821-0581,413-821-0595,"K,01,02,03,04"
00050030,Agawam: James Clark School,Public School,Principal,Shelley Russell,65 Oxford Street,,Agawam,MA,01001,413-821-0576,413-821-0594,"K,01,02,03,04"
00050303,Agawam: Roberta G. Doering School,Public School,Principal,Susan Federico,68 Main Street,,Agawam,MA,01001,413-789-1400,413-789-7337,"05,06,07,08"
00050025,Agawam: Robinson Park,Public School,Principal,Nicholas Bernier,65 Begley Street,,Agawam,MA,01001,413-821-0584,413-786-9793,"K,01,02,03,04"
04090205,Alma del Mar Charter School (District): Alma del Mar Charter School,Charter School,Principal,Will Gardner,515 Belleville Ave,,New Bedford,MA,02746,774-206-6827,774-206-6833,"K,01,02,03,04,05,06,07,08"
00070005,Amesbury: Amesbury Elementary,Public School,Principal,Walter Helliesen,20 South Hampton Road,,Amesbury,MA,01913,978-388-3659,978-388-4961,"PK,K,01,02,03,04"
00070505,Amesbury: Amesbury High,Public School,Principal,Elizabeth McAndrews,5 Highland Street,,Amesbury,MA,01913,978-388-4800,978-388-3393,"09,10,11,12"
00070515,Amesbury: Amesbury Innovation High School,Public School,Principal,Eryn Maguire,71 Friend Street,,Amesbury,MA,01913,978-388-8037,978-388-8073,"09,10,11,12"
00070013,Amesbury: Amesbury Middle,Public School,Principal,Michael Curry,220 Main Street,,Amesbury,MA,01913,978-388-0515,978-388-1626,"05,06,07,08"
00070010,Amesbury: Charles C Cashman Elementary,Public School,Principal,Mary Charette,193 Lions Mouth Road,,Amesbury,MA,01913,978-388-4407,978-388-4479,"PK,K,01,02,03,04"
00080009,Amherst: Crocker Farm Elementary,Public School,Principal,Derek Shea,280 West Street,,Amherst,MA,01002,413-362-1600,413-256-0835,"PK,K,01,02,03,04,05,06"
00080020,Amherst: Fort River Elementary,Public School,Principal,Diane Chamberlain,70 So East Street,,Amherst,MA,01002,413-362-1200,413-256-5941,"K,01,02,03,04,05,06"
00080050,Amherst: Wildwood Elementary,Public School,Principal,Nicholas Yaffe,71 Strong Street,,Amherst,MA,01002,413-362-1400,413-549-9519,"K,01,02,03,04,05,06"
06050505,Amherst-Pelham: Amherst Regional High,Public School,Principal,Mark Jackson,21 Mattoon Street,,Amherst,MA,01002,413-362-1701,413-549-9704,"09,10,11,12"
06050405,Amherst-Pelham: Amherst Regional Middle School,Public School,Principal,Patricia Bode,170 Chestnut Street,,Amherst,MA,01002,413-362-1800,413-549-9812,"07,08"
00090505,Andover: Andover High,Public School,Principal,Philip Conrad,80 Shawsheen Road,,Andover,MA,01810,978-247-5500,978-247-5770,"09,10,11,12"
00090310,Andover: Andover West Middle,Public School,Principal,Rebecca Franks,70 Shawsheen Road,,Andover,MA,01810,978-247-5400,978-247-5490,"06,07,08"
00090003,Andover: Bancroft Elementary,Public School,Principal,Michelle Costa,15 Bancroft Street,,Andover,MA,01810,978-247-9500,978-247-9590,"K,01,02,03,04,05"
00090305,Andover: Doherty Middle,Public School,Principal,Robin Wilson,50 Bartlet Street,,Andover,MA,01810,978-247-9400,978-247-9490,"06,07,08"
00090010,Andover: Henry C Sanborn Elementary,Public School,Principal,Jason DiCarlo,90 Lovejoy Road,,Andover,MA,01810,978-247-9700,978-247-9790,"K,01,02,03,04,05"
00090004,Andover: High Plain Elementary,Public School,Principal,Pamela Lathrop,333 High Plain Road,,Andover,MA,01810,978-247-8600,978-247-8690,"K,01,02,03,04,05"
00090005,Andover: Shawsheen School,Public School,Principal,Carol Green,18 Magnolia Avenue,,Andover,MA,01810,978-247-8200,978-247-8290,PK
00090020,Andover: South Elementary,Public School,Principal,Tracy Crowley,55 Woburn Street,,Andover,MA,01810,978-247-9800,978-247-9890,"K,01,02,03,04,05"
