,Zip Code,Org Code,Org Name,Org Type,Year,Job Category,Nonwhite (Num Stu),Total Students,Nonwhite (Num Staff),Total Staff,Perc Nonwhite Students,Perc Nonwhite Staff,Nonwhite Leader,Median Income,Percent Poverty,% HS Graduates,% College Graduates,Zip Perc White,Percent Nonwhite Residents,In Boston,Residuals,Residuals Group
69,01040,1370040,Holyoke: Kelly Elementary,Public School,2015,All Staff,571.0,586,20.500000000000007,82.9,97.44027303754265,24.728588661037403,False,36608.0,38.4,77.3,23.4,82.1,17.900000000000006,Not Boston,9.117950122526993,High
73,01040,1370025,Holyoke: Morgan Full Service Community School,Public School,2015,All Staff,391.0,399,13.0,54.4,97.99498746867168,23.897058823529413,True,36608.0,38.4,77.3,23.4,82.1,17.900000000000006,Not Boston,-3.018514750297907,Low
74,01040,1370030,Holyoke: William R. Peck School,Public School,2015,All Staff,345.0,371,31.900000000000006,90.4,92.99191374663073,35.28761061946903,True,36608.0,38.4,77.3,23.4,82.1,17.900000000000006,Not Boston,12.319321072587865,High
75,01040,1370605,Holyoke: Wm J Dean Vocational Technical High,Public School,2015,All Staff,381.0,403,21.999999999999993,85.1,94.54094292803971,25.85193889541715,True,36608.0,38.4,77.3,23.4,82.1,17.900000000000006,Not Boston,1.9703933837994292,High
76,01040,4530005,Holyoke Community Charter (District): Holyoke Community Charter School,Charter School,2015,All Staff,659.0,704,30.400000000000006,87.9,93.60795454545455,34.58475540386804,True,36608.0,38.4,77.3,23.4,82.1,17.900000000000006,Not Boston,20.844004792792393,High
78,01040,1370070,Holyoke: H.B. Lawrence School,Public School,2015,All Staff,264.0,291,19.0,64.0,90.72164948453609,29.6875,False,36608.0,38.4,77.3,23.4,82.1,17.900000000000006,Not Boston,15.969870766030752,High
150,01104,2810010,Springfield: Edward P. Boland School,Public School,2015,All Staff,764.0,831,7.0,120.7,91.93742478941034,5.79950289975145,True,28858.0,36.2,74.6,12.5,57.6,42.4,Not Boston,-11.617907810286237,Low
157,01104,35020405,Baystate Academy Charter Public School (District): Baystate Academy Charter Public School,Charter School,2015,All Staff,202.0,218,8.0,24.1,92.66055045871559,33.19502074688796,True,28858.0,36.2,74.6,12.5,57.6,42.4,Not Boston,12.388295024090233,High
158,01105,2810030,Springfield: Elias Brookings,Public School,2015,All Staff,314.0,330,7.0,47.9,95.15151515151516,14.613778705636744,True,16845.0,62.5,60.3,8.4,37.7,62.3,Not Boston,-14.733238224031705,Low
159,01105,2810510,Springfield: High School Of Commerce,Public School,2015,All Staff,1342.0,1446,22.599999999999994,143.7,92.80774550484094,15.727209464161445,True,16845.0,62.5,60.3,8.4,37.7,62.3,Not Boston,3.178145349164094,High
