Org Code,Job Group,Year,SCHOOL,African American (# ),Asian (# ),Hispanic (# ),White (# ),FTE Count,Other (# )
00010003,11,2010,Abington - Abington ECC,0.0,0.0,0.0,53.8,53.8,0.0
00010005,11,2010,Abington - Center,0.0,0.0,0.0,22.0,22.0,0.0
00010015,11,2010,Abington - Woodsdale,0.0,0.0,0.0,34.5,34.5,0.0
00010405,11,2010,Abington - Frolio Middle School,0.0,0.0,0.0,36.7,36.7,0.0
00010505,11,2010,Abington - Abington High,0.0,0.0,1.0,53.7,54.7,0.0
00020010,11,2010,Acton - Merriam,0.0,2.6,0.0,83.3,87.5,1.6
00020015,11,2010,Acton - McCarthy-Towne,0.0,0.0,0.0,58.2,58.2,0.0
00020020,11,2010,Acton - Douglas,0.0,0.2,0.0,48.3,48.5,0.0
00020025,11,2010,Acton - Gates,0.0,1.9,0.0,45.5,47.4,0.0
00020030,11,2010,Acton - Luther Conant,0.0,2.1,0.0,53.2,55.3,0.0
00030025,11,2010,Acushnet - Acushnet Elementary Sch,0.0,0.0,0.0,62.3,62.3,0.0
00030305,11,2010,Acushnet - Albert F Ford Middle Sch,0.0,0.0,0.0,48.9,48.9,0.0
00050003,11,2010,Agawam - Agawam ECC,1.0,0.0,0.0,27.7,28.7,0.0
00050010,11,2010,Agawam - Clifford M Granger,0.0,0.0,0.0,44.5,44.5,0.0
00050020,11,2010,Agawam - Benjamin J Phelps,0.0,0.0,0.0,44.7,44.7,0.0
00050025,11,2010,Agawam - Robinson Park,0.0,0.0,0.0,57.9,57.9,0.0
00050030,11,2010,Agawam - James Clark School,0.0,0.0,0.0,55.6,55.6,0.0
00050303,11,2010,Agawam - Agawam Middle School,1.0,0.0,1.0,76.4,78.4,0.0
00050405,11,2010,Agawam - Agawam Junior High,0.0,0.0,0.0,84.7,84.7,0.0
00050505,11,2010,Agawam - Agawam High,0.0,0.0,2.0,133.1,135.1,0.0
00070005,11,2010,Amesbury - Amesbury Elementary,0.0,0.0,0.0,54.4,54.4,0.0
00070010,11,2010,Amesbury - Charles C Cashman El,0.0,0.0,0.0,56.6,57.5,0.9
00070013,11,2010,Amesbury - Amesbury Middle,0.5,0.0,2.0,85.0,87.5,0.0
00070505,11,2010,Amesbury - Amesbury High,0.0,0.0,0.0,80.2,80.2,0.0
00080009,11,2010,Amherst - Crocker Farm Elementary,3.0,2.6,9.6,56.8,74.1,2.1
00080020,11,2010,Amherst - Fort River Elementary,3.0,4.0,8.0,58.3,74.6,1.4
00080030,11,2010,Amherst - Marks Meadow Elementary School,1.2,1.0,0.5,30.4,34.3,1.1
00080050,11,2010,Amherst - Wildwood Elementary,3.9,5.8,2.1,68.0,82.2,2.4
