Org Code,Attendance Rate,Average # of days absent,Absent 10 or more days,Chronically Absent (10% or more),Year,Retention Rate
00100055,97.1,4.7,12.9,3.4,2011,1.4
02770020,93.9,9.6,39.8,20.4,2011,0.3
00350020,92.9,12.3,50.5,23.3,2011,2.4
01590017,96.2,6.8,23.4,6.5,2011,0.0
00950140,94.7,9.2,39.9,12.5,2011,0.0
07750032,96.5,6.3,22.3,4.9,2011,0.0
01600310,93.2,11.6,45.8,25.0,2011,2.3
00460505,95.8,7.4,23.3,8.9,2011,1.2
07530405,95.5,7.9,30.4,9.9,2011,0.2
02170305,96.3,6.6,21.5,5.6,2011,0.3
00970505,88.4,19.0,60.1,40.5,2011,9.0
02070100,96.6,6.1,19.7,3.4,2011,0.0
03480202,95.7,7.5,27.4,8.0,2011,1.5
01440007,96.2,6.7,20.2,4.1,2011,1.0
02040030,96.0,7.0,23.2,5.4,2011,0.0
00560310,96.4,6.4,20.7,5.5,2011,0.2
02090015,95.6,7.6,32.2,8.9,2011,1.9
02610005,95.5,7.8,30.1,6.2,2011,0.4
01100505,90.2,17.0,81.9,30.0,2011,3.3
02010070,94.6,9.3,35.8,17.0,2011,3.5
01100200,96.2,6.5,21.8,5.3,2011,0.0
07740020,86.3,23.5,76.7,52.0,2011,1.7
02810035,93.2,11.4,46.2,24.5,2011,3.4
02390515,93.5,11.4,44.1,16.2,2011,4.0
02810510,79.5,29.4,77.1,64.5,2011,26.1
01630085,95.6,7.6,29.4,5.9,2011,5.2
02920505,93.3,11.8,39.1,17.1,2011,5.5
01570305,96.3,5.9,17.9,4.3,2011,0.0
00050010,96.1,6.7,21.9,5.0,2011,0.0
00350545,94.5,9.9,36.3,15.1,2011,2.7
00880505,95.2,8.3,27.2,10.8,2011,0.7
03360105,95.4,8.1,31.2,10.3,2011,0.4
07750310,95.3,8.4,35.5,10.5,2011,0.0
02810010,92.1,12.6,48.7,29.1,2011,3.6
00440002,95.4,8.0,30.9,11.7,2011,0.8
06000405,97.1,5.2,15.0,4.3,2011,0.0
07250015,95.6,7.8,29.4,4.7,2011,0.4
03260025,96.8,5.7,17.0,2.6,2011,5.1
06000505,96.8,5.6,17.8,4.1,2011,0.7
01780003,95.8,6.2,18.3,6.3,2011,0.0
00610065,95.2,8.3,32.1,11.2,2011,0.5
00950005,93.4,11.0,47.7,22.5,2011,0.8
06730305,96.9,5.6,15.7,2.5,2011,0.1
01170015,95.8,7.2,29.3,7.1,2011,0.0
00790035,96.5,6.2,19.8,5.5,2011,1.8
02580305,92.9,12.1,48.0,25.2,2011,0.9
00770100,95.8,7.4,28.4,7.0,2011,0.5
00350072,91.5,14.2,58.8,31.2,2011,5.5
00400020,96.3,6.4,23.0,1.7,2011,3.1
07730505,94.1,10.1,35.8,15.0,2011,1.8
03210005,96.1,6.8,23.3,4.7,2011,0.9
07450010,95.7,7.7,27.4,5.4,2011,0.0
02960005,94.6,9.2,40.9,13.2,2011,0.4
01810004,96.7,5.3,15.0,5.0,2011,0.0
00350200,94.9,8.4,31.6,14.8,2011,3.6
01970010,95.1,8.5,34.9,10.3,2011,0.4
04940205,96.5,6.5,27.4,2.0,2011,0.0
01490045,94.7,8.7,30.7,15.9,2011,1.3
