Org Code,SCHOOL,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL,Source,Year
04450105,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,0,98,124,136,117,137,124,132,126,122,117,89,66,38,0,1426,student_enrollment_2010,2010
00010003,Abington - Abington ECC,52,154,170,156,0,0,0,0,0,0,0,0,0,0,0,532,student_enrollment_2010,2010
00010505,Abington - Abington High,0,0,0,0,0,0,0,0,0,0,141,131,141,145,0,558,student_enrollment_2010,2010
00010005,Abington - Center,0,0,0,0,66,57,56,56,0,0,0,0,0,0,0,235,student_enrollment_2010,2010
00010405,Abington - Frolio Middle School,0,0,0,0,0,0,0,0,209,188,0,0,0,0,0,397,student_enrollment_2010,2010
00010015,Abington - Woodsdale,0,0,0,0,99,135,116,117,0,0,0,0,0,0,0,467,student_enrollment_2010,2010
04120530,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public Sch,0,0,0,0,0,0,84,83,75,65,49,49,44,33,0,482,student_enrollment_2010,2010
00020020,Acton - Douglas,0,65,67,69,73,73,74,78,0,0,0,0,0,0,0,499,student_enrollment_2010,2010
00020025,Acton - Gates,0,63,67,69,74,71,73,73,0,0,0,0,0,0,0,490,student_enrollment_2010,2010
00020030,Acton - Luther Conant,0,65,69,70,72,70,78,76,0,0,0,0,0,0,0,500,student_enrollment_2010,2010
00020015,Acton - McCarthy-Towne,0,64,66,71,72,73,73,78,0,0,0,0,0,0,0,497,student_enrollment_2010,2010
00020010,Acton - Merriam,64,83,67,71,72,74,94,103,0,0,0,0,0,0,0,628,student_enrollment_2010,2010
06000505,Acton-Boxborough - Acton-Boxborough Reg High,0,0,0,0,0,0,0,0,0,0,505,477,512,459,0,1953,student_enrollment_2010,2010
06000405,Acton-Boxborough - Raymond J Grey JH,0,0,0,0,0,0,0,0,475,502,0,0,0,0,0,977,student_enrollment_2010,2010
00030025,Acushnet - Acushnet Elementary Sch,26,72,107,105,102,102,0,0,0,0,0,0,0,0,0,514,student_enrollment_2010,2010
00030305,Acushnet - Albert F Ford Middle Sch,0,0,0,0,0,0,118,133,113,118,0,0,0,0,0,482,student_enrollment_2010,2010
06030004,Adams-Cheshire - Cheshire Elementary,47,31,24,36,34,33,25,38,0,0,0,0,0,0,0,268,student_enrollment_2010,2010
06030505,Adams-Cheshire - Hoosac Valley High,0,0,0,0,0,0,0,0,125,130,112,130,104,90,1,692,student_enrollment_2010,2010
06030020,Adams-Cheshire - Plunkett Elementary,0,96,78,78,88,84,92,78,0,0,0,0,0,0,0,594,student_enrollment_2010,2010
04300305,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter Sch,0,0,0,0,0,0,0,243,210,144,80,61,63,0,0,801,student_enrollment_2010,2010
00050003,Agawam - Agawam ECC,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,student_enrollment_2010,2010
00050505,Agawam - Agawam High,0,0,0,0,0,0,0,0,0,0,371,335,302,304,0,1312,student_enrollment_2010,2010
00050405,Agawam - Agawam Junior High,0,0,0,0,0,0,0,0,357,367,0,0,0,0,0,724,student_enrollment_2010,2010
00050303,Agawam - Agawam Middle School,0,0,0,0,0,0,344,352,0,0,0,0,0,0,0,696,student_enrollment_2010,2010
00050020,Agawam - Benjamin J Phelps,0,61,77,77,79,80,0,0,0,0,0,0,0,0,0,374,student_enrollment_2010,2010
00050010,Agawam - Clifford M Granger,0,53,72,61,64,56,0,0,0,0,0,0,0,0,0,306,student_enrollment_2010,2010
00050030,Agawam - James Clark School,0,64,70,67,81,82,0,0,0,0,0,0,0,0,0,364,student_enrollment_2010,2010
00050025,Agawam - Robinson Park,0,58,83,68,87,73,0,0,0,0,0,0,0,0,0,369,student_enrollment_2010,2010
00070005,Amesbury - Amesbury Elementary,51,72,74,82,78,76,0,0,0,0,0,0,0,0,0,433,student_enrollment_2010,2010
00070505,Amesbury - Amesbury High,0,0,0,0,0,0,0,0,0,0,171,158,178,161,6,674,student_enrollment_2010,2010
00070013,Amesbury - Amesbury Middle,0,0,0,0,0,0,200,194,176,193,0,0,0,0,0,763,student_enrollment_2010,2010
00070010,Amesbury - Charles C Cashman El,29,107,107,114,103,94,0,0,0,0,0,0,0,0,0,554,student_enrollment_2010,2010
04150505,Amesbury Academy Charter Public School - Academy of Strategic Learning Charter School,0,0,0,0,0,0,0,0,0,1,9,14,13,13,0,50,student_enrollment_2010,2010
00080009,Amherst - Crocker Farm Elementary,63,53,52,33,34,37,40,29,0,0,0,0,0,0,0,341,student_enrollment_2010,2010
00080020,Amherst - Fort River Elementary,0,51,57,54,64,64,73,71,0,0,0,0,0,0,0,434,student_enrollment_2010,2010
00080030,Amherst - Marks Meadow Elementary School,0,25,23,31,19,24,25,31,0,0,0,0,0,0,0,178,student_enrollment_2010,2010
00080050,Amherst - Wildwood Elementary,0,43,46,59,58,55,58,49,0,0,0,0,0,0,0,368,student_enrollment_2010,2010
06050505,Amherst-Pelham - Amherst Regional High,0,0,0,0,0,0,0,0,0,0,294,287,295,292,0,1168,student_enrollment_2010,2010
06050405,Amherst-Pelham - Amherst Regional MS,0,0,0,0,0,0,0,0,248,245,0,0,0,0,0,493,student_enrollment_2010,2010
00090505,Andover - Andover High,0,0,0,0,0,0,0,0,0,0,490,441,442,426,0,1799,student_enrollment_2010,2010
00090310,Andover - Andover West Middle,0,0,0,0,0,0,0,172,178,179,0,0,0,0,0,529,student_enrollment_2010,2010
00090003,Andover - Bancroft Elementary,0,56,83,80,81,81,88,0,0,0,0,0,0,0,0,469,student_enrollment_2010,2010
00090305,Andover - Doherty Middle,0,0,0,0,0,0,0,197,178,174,0,0,0,0,0,549,student_enrollment_2010,2010
00090010,Andover - Henry C Sanborn Elem,0,48,56,57,56,65,73,0,0,0,0,0,0,0,0,355,student_enrollment_2010,2010
00090004,Andover - High Plain Elementary,0,72,87,81,99,88,97,0,0,0,0,0,0,0,0,524,student_enrollment_2010,2010
