Org Code,Org Name,Churn Enrollment,% Churn,% Intake,Stability Enrollment,% Stability,Source,Year
04450105,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,1465,7.2,4.4,1435,94.7,student_mobility_2010,2010
00010003,Abington - Abington ECC,562,11.0,8.2,536,93.3,student_mobility_2010,2010
00010505,Abington - Abington High,593,10.8,5.9,577,91.7,student_mobility_2010,2010
00010005,Abington - Center,250,10.8,7.2,240,92.9,student_mobility_2010,2010
00010405,Abington - Frolio Middle School,415,6.8,4.3,408,94.9,student_mobility_2010,2010
00010015,Abington - Woodsdale,486,5.6,3.9,481,95.4,student_mobility_2010,2010
04120530,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public Sch,487,4.7,1.9,485,95.7,student_mobility_2010,2010
00020020,Acton - Douglas,506,5.1,1.8,499,96.2,student_mobility_2010,2010
00020025,Acton - Gates,502,5.2,2.8,491,97.0,student_mobility_2010,2010
00020030,Acton - Luther Conant,508,2.6,1.8,500,99.0,student_mobility_2010,2010
00020015,Acton - McCarthy-Towne,510,4.7,2.6,497,97.8,student_mobility_2010,2010
00020010,Acton - Merriam,650,8.9,7.7,629,94.1,student_mobility_2010,2010
06000505,Acton-Boxborough - Acton-Boxborough Reg High,1971,2.4,1.3,1953,98.5,student_mobility_2010,2010
06000405,Acton-Boxborough - Raymond J Grey JH,1000,11.4,10.2,981,90.3,student_mobility_2010,2010
00030025,Acushnet - Acushnet Elementary Sch,533,5.1,2.8,518,97.7,student_mobility_2010,2010
00030305,Acushnet - Albert F Ford Middle Sch,496,4.0,3.0,485,98.1,student_mobility_2010,2010
06030004,Adams-Cheshire - Cheshire Elementary,288,10.4,9.4,268,96.3,student_mobility_2010,2010
06030505,Adams-Cheshire - Hoosac Valley High,716,10.1,5.2,694,92.8,student_mobility_2010,2010
06030020,Adams-Cheshire - Plunkett Elementary,626,7.7,5.3,600,96.3,student_mobility_2010,2010
04300305,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter Sch,812,4.9,2.1,808,95.5,student_mobility_2010,2010
00050003,Agawam - Agawam ECC,144,15.3,13.2,128,95.3,student_mobility_2010,2010
00050505,Agawam - Agawam High,1343,9.1,2.5,1313,93.0,student_mobility_2010,2010
00050405,Agawam - Agawam Junior High,749,6.5,3.6,726,96.4,student_mobility_2010,2010
