Org Code,SCHOOL,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Source,Year
04450105,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,29.7,4.6,25.8,36.0,0.1,0.1,3.8,49.0,51.0,student_raceeth_2010,2010
00010003,Abington - Abington ECC,0.8,1.1,1.7,95.9,0.4,0.0,0.2,52.8,47.2,student_raceeth_2010,2010
00010505,Abington - Abington High,2.2,1.3,2.3,92.1,0.5,0.0,1.6,51.3,48.7,student_raceeth_2010,2010
00010005,Abington - Center,3.4,0.4,4.3,91.5,0.0,0.4,0.0,50.6,49.4,student_raceeth_2010,2010
00010405,Abington - Frolio Middle School,0.5,1.3,4.0,93.7,0.0,0.0,0.5,47.9,52.1,student_raceeth_2010,2010
00010015,Abington - Woodsdale,1.7,1.1,3.2,93.1,0.0,0.0,0.9,51.2,48.8,student_raceeth_2010,2010
04120530,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public Sch,58.7,2.9,16.0,20.3,0.0,0.0,2.1,50.6,49.4,student_raceeth_2010,2010
00020020,Acton - Douglas,1.0,19.4,3.0,68.5,0.0,0.0,8.0,55.5,44.5,student_raceeth_2010,2010
00020025,Acton - Gates,7.6,28.0,1.2,59.6,0.0,0.0,3.7,56.9,43.1,student_raceeth_2010,2010
00020030,Acton - Luther Conant,0.6,42.6,2.0,51.8,0.2,0.0,2.8,47.2,52.8,student_raceeth_2010,2010
00020015,Acton - McCarthy-Towne,1.2,9.7,5.0,80.7,0.0,0.0,3.4,47.3,52.7,student_raceeth_2010,2010
00020010,Acton - Merriam,8.0,20.7,2.4,66.2,0.3,0.0,2.4,49.0,51.0,student_raceeth_2010,2010
06000505,Acton-Boxborough - Acton-Boxborough Reg High,0.9,20.7,2.9,73.8,0.1,0.1,1.6,52.5,47.5,student_raceeth_2010,2010
06000405,Acton-Boxborough - Raymond J Grey JH,0.5,22.4,3.6,71.4,0.2,0.0,1.8,47.4,52.6,student_raceeth_2010,2010
00030025,Acushnet - Acushnet Elementary Sch,0.0,0.4,0.0,99.6,0.0,0.0,0.0,50.4,49.6,student_raceeth_2010,2010
00030305,Acushnet - Albert F Ford Middle Sch,1.0,0.2,0.6,98.1,0.0,0.0,0.0,54.1,45.9,student_raceeth_2010,2010
06030004,Adams-Cheshire - Cheshire Elementary,0.7,0.4,0.4,98.1,0.4,0.0,0.0,51.9,48.1,student_raceeth_2010,2010
06030505,Adams-Cheshire - Hoosac Valley High,1.7,0.6,0.7,96.1,0.4,0.1,0.3,51.3,48.7,student_raceeth_2010,2010
06030020,Adams-Cheshire - Plunkett Elementary,4.0,1.3,2.4,91.8,0.5,0.0,0.0,55.2,44.8,student_raceeth_2010,2010
04300305,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter Sch,2.0,26.3,4.2,64.9,0.5,0.0,2.0,54.4,45.6,student_raceeth_2010,2010
00050003,Agawam - Agawam ECC,0.0,0.8,3.1,94.5,0.0,0.0,1.6,63.3,36.7,student_raceeth_2010,2010
00050505,Agawam - Agawam High,0.9,0.6,0.8,97.1,0.0,0.0,0.5,49.6,50.4,student_raceeth_2010,2010
00050405,Agawam - Agawam Junior High,1.7,1.7,3.5,91.6,0.4,0.4,0.8,54.4,45.6,student_raceeth_2010,2010
00050303,Agawam - Agawam Middle School,1.0,1.6,4.3,92.1,0.3,0.1,0.6,51.6,48.4,student_raceeth_2010,2010
00050020,Agawam - Benjamin J Phelps,1.1,2.7,1.9,92.8,0.0,0.0,1.6,50.5,49.5,student_raceeth_2010,2010
00050010,Agawam - Clifford M Granger,1.0,2.3,4.9,89.2,0.0,0.0,2.6,49.0,51.0,student_raceeth_2010,2010
00050030,Agawam - James Clark School,0.8,0.5,6.6,90.1,0.0,0.0,1.9,50.5,49.5,student_raceeth_2010,2010
00050025,Agawam - Robinson Park,1.4,1.4,1.4,95.9,0.0,0.0,0.0,48.5,51.5,student_raceeth_2010,2010
00070005,Amesbury - Amesbury Elementary,0.9,0.7,4.6,90.8,0.0,0.0,3.0,55.0,45.0,student_raceeth_2010,2010
00070505,Amesbury - Amesbury High,1.5,1.0,2.5,92.6,0.3,0.3,1.8,52.4,47.6,student_raceeth_2010,2010
00070013,Amesbury - Amesbury Middle,0.4,0.7,4.1,92.4,0.1,0.0,2.4,52.7,47.3,student_raceeth_2010,2010
00070010,Amesbury - Charles C Cashman El,0.4,0.5,4.7,93.3,0.0,0.0,1.1,52.5,47.5,student_raceeth_2010,2010
04150505,Amesbury Academy Charter Public School - Academy of Strategic Learning Charter School,2.0,0.0,8.0,90.0,0.0,0.0,0.0,50.0,50.0,student_raceeth_2010,2010
00080009,Amherst - Crocker Farm Elementary,8.5,8.5,30.5,46.9,0.9,0.9,3.8,52.2,47.8,student_raceeth_2010,2010
00080020,Amherst - Fort River Elementary,8.3,15.7,14.3,52.3,0.0,0.5,9.0,51.6,48.4,student_raceeth_2010,2010
00080030,Amherst - Marks Meadow Elementary School,11.2,15.7,11.2,50.0,0.0,0.0,11.8,46.1,53.9,student_raceeth_2010,2010
00080050,Amherst - Wildwood Elementary,4.6,11.7,11.4,60.9,0.0,0.0,11.4,50.8,49.2,student_raceeth_2010,2010
06050505,Amherst-Pelham - Amherst Regional High,7.9,9.1,11.0,66.8,0.3,0.1,4.9,49.1,50.9,student_raceeth_2010,2010
06050405,Amherst-Pelham - Amherst Regional MS,5.7,8.5,15.6,59.8,0.0,0.0,10.3,51.1,48.9,student_raceeth_2010,2010
00090505,Andover - Andover High,2.0,10.1,3.4,82.6,0.1,0.0,1.9,50.9,49.1,student_raceeth_2010,2010
00090310,Andover - Andover West Middle,0.9,11.2,2.6,81.9,0.6,0.0,2.8,51.2,48.8,student_raceeth_2010,2010
00090003,Andover - Bancroft Elementary,1.1,6.0,5.1,82.9,0.2,0.0,4.7,48.8,51.2,student_raceeth_2010,2010
00090305,Andover - Doherty Middle,1.5,7.3,2.0,87.1,0.0,0.0,2.2,50.8,49.2,student_raceeth_2010,2010
00090010,Andover - Henry C Sanborn Elem,0.3,9.3,3.4,86.8,0.0,0.0,0.3,49.9,50.1,student_raceeth_2010,2010
00090004,Andover - High Plain Elementary,1.0,21.4,5.5,70.4,0.2,0.0,1.5,52.9,47.1,student_raceeth_2010,2010
00090005,Andover - Shawsheen School,3.2,10.6,1.4,83.7,0.0,0.0,1.1,56.7,43.3,student_raceeth_2010,2010
00090020,Andover - South Elementary,0.2,7.8,0.9,89.8,0.0,0.0,1.4,50.3,49.7,student_raceeth_2010,2010
00090025,Andover - West Elementary,1.3,11.1,3.4,81.2,0.0,0.0,3.0,50.7,49.3,student_raceeth_2010,2010
00090350,Andover - Wood Hill Middle School,0.5,18.1,5.5,74.4,0.0,0.0,1.5,51.1,48.9,student_raceeth_2010,2010
