Org Code,% Emergency Removal,% Expulsion,% In-School Suspension,% Out-of-School Suspension,% Permanent Expulsion,% Removed to Alternate Setting,SCHOOL,Source,Students,Students Disciplined,Year
04450105,,,0.5,5.5,0.0,0.0,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,student_suspensions_2013,1436,83,2013
00010505,,,10.3,6.5,0.0,0.0,Abington - Abington High,student_suspensions_2013,573,70,2013
00010003,,,,,,,Abington - Beaver Brook Elementary School,student_suspensions_2013,702,0,2013
00010002,,,,,,,Abington - Center Elementary School,student_suspensions_2013,216,0,2013
00010405,,,5.7,7.7,0.0,0.0,Abington - Frolio Middle School,student_suspensions_2013,349,38,2013
00010015,,,2.8,1.2,0.0,0.0,Abington - Woodsdale Elementary School,student_suspensions_2013,325,12,2013
04120530,,,13.1,17.0,0.0,0.2,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,student_suspensions_2013,505,115,2013
00020020,,,,,,,Acton - Douglas,student_suspensions_2013,496,0,2013
00020025,,,,,,,Acton - Gates,student_suspensions_2013,474,2,2013
00020030,,,,,,,Acton - Luther Conant,student_suspensions_2013,503,0,2013
00020015,,,,,,,Acton - McCarthy-Towne,student_suspensions_2013,494,4,2013
00020010,,,,,,,Acton - Merriam,student_suspensions_2013,642,0,2013
06000505,,,0.3,2.2,0.0,0.0,Acton-Boxborough - Acton-Boxborough Regional High,student_suspensions_2013,1998,47,2013
06000405,,,0.4,1.0,0.0,0.0,Acton-Boxborough - Raymond J Grey Junior High,student_suspensions_2013,944,11,2013
00030025,,,,,,,Acushnet - Acushnet Elementary School,student_suspensions_2013,542,2,2013
00030305,,,0.9,1.3,0.0,0.0,Acushnet - Albert F Ford Middle School,student_suspensions_2013,466,9,2013
06030004,,,,,,,Adams-Cheshire - Cheshire Elementary,student_suspensions_2013,183,0,2013
06030505,,,1.2,6.9,0.0,0.0,Adams-Cheshire - Hoosac Valley Middle & High School,student_suspensions_2013,725,50,2013
06030020,,,,,,,Adams-Cheshire - Plunkett Elementary,student_suspensions_2013,572,0,2013
